"Country","City","TypeContract","PriceValue"
"Romania","Corunca","Furnizare","28620"
"Romania","Corunca","Furnizare","3024"
"Romania","Corunca","Furnizare","50508"
"Romania","Corunca","Furnizare","110124"
"Romania","Corunca","Furnizare","19800"
"Romania","Corunca","Furnizare","3416"
"Romania","Corunca","Furnizare","4018"
"Romania","Corunca","Furnizare","4306"
"Romania","Corunca","Furnizare","3600"
"Romania","Corunca","Furnizare","5688"
"Romania","Corunca","Furnizare","6336"
"Romania","Corunca","Furnizare","6660"
"Romania","Corunca","Furnizare","605"
"Romania","Corunca","Furnizare","2625"
"Romania","Corunca","Furnizare","10530"
"Romania","Corunca","Furnizare","1080"
"Romania","Corunca","Furnizare","7920"
"Romania","Corunca","Furnizare","9720"
"Romania","Corunca","Furnizare","5040"
"Romania","Corunca","Furnizare","14040"
"Romania","Corunca","Furnizare","106920"
"Romania","Corunca","Furnizare","251856"
"Romania","Corunca","Furnizare","138240"
"Romania","Corunca","Furnizare","3300"
"Romania","Corunca","Furnizare","5760"
"Romania","Corunca","Furnizare","10530"
"Romania","Corunca","Furnizare","1728"
"Romania","Corunca","Furnizare","3240"
"Romania","Corunca","Furnizare","13824"
"Romania","Corunca","Furnizare","4752"
"Romania","Corunca","Furnizare","2192080"
"Romania","Corunca","Furnizare","10426"
"Romania","Corunca","Furnizare","7920"
"Romania","Corunca","Furnizare","7200"
"Romania","Corunca","Furnizare","9720"
"Romania","Corunca","Furnizare","7560"
"Romania","Corunca","Furnizare","39960"
"Romania","Corunca","Furnizare","264576"
"Romania","Corunca","Furnizare","1598"
"Romania","Corunca","Furnizare","172080"
"Romania","Corunca","Furnizare","51235"
"Romania","Corunca","Furnizare","2346948"
"Romania","Corunca","Furnizare","9255643"
"Romania","Corunca","Furnizare","9000"
"Romania","Corunca","Furnizare","3600"
"Romania","Corunca","Furnizare","10080"
"Romania","Corunca","Furnizare","25715"
"Romania","Corunca","Furnizare","130005"
"Romania","Corunca","Furnizare","1308298"
"Romania","Corunca","Furnizare","9720"
"Romania","Corunca","Furnizare","1498162"
"Romania","Corunca","Furnizare","1728"
"Romania","Corunca","Furnizare","5400"
"Romania","Corunca","Furnizare","28800"
"Romania","Corunca","Furnizare","20160"
"Romania","Corunca","Furnizare","4860"
"Romania","Corunca","Furnizare","2220"
"Romania","Corunca","Furnizare","9504"
"Romania","Suceava","Servicii","20236"
"Romania","Bucuresti","Servicii","90000"
"Romania","Tulcea","Lucrari","232678"
"Romania","Bucuresti","Furnizare","1704"
"Romania","Alba Iulia","Furnizare","540"
"Romania","Bucuresti","Furnizare","270000"
"Romania","Ramnicu Valcea","Servicii","68067"
"Romania","Bucuresti","Furnizare","7122"
"Romania","Bucuresti","Furnizare","11301"
"Romania","Bucuresti","Furnizare","2688"
"Romania","Bucuresti","Furnizare","15456"
"Romania","Bucuresti","Furnizare","5702"
"Romania","Bucuresti","Furnizare","3600"
"Romania","Mitocu Dragomirnei","Servicii","265857"
"Romania","Mitocu Dragomirnei","Servicii","162342"
"Romania","Targu Mures","Furnizare","68108"
"Romania","Horodniceni","Furnizare","3840"
"Romania","Horodniceni","Furnizare","9300"
"Romania","Horodniceni","Furnizare","9600"
"Romania","Horodniceni","Furnizare","10560"
"Romania","Horodniceni","Furnizare","11400"
"Romania","Horodniceni","Furnizare","12000"
"Romania","Horodniceni","Furnizare","13200"
"Romania","Horodniceni","Furnizare","16560"
"Romania","Horodniceni","Furnizare","17928"
"Romania","Horodniceni","Furnizare","27720"
"Romania","Horodniceni","Furnizare","41940"
"Romania","Horodniceni","Furnizare","99360"
"Romania","Iasi","Furnizare","27900"
"Romania","Iasi","Furnizare","45000"
"Romania","Iasi","Furnizare","10050"
"Romania","Iasi","Furnizare","2448"
"Romania","Iasi","Furnizare","4810"
"Romania","Iasi","Furnizare","6134"
"Romania","Iasi","Furnizare","2448"
"Romania","Iasi","Furnizare","442080"
"Romania","Iasi","Furnizare","591876"
"Romania","Iasi","Furnizare","58464"
"Romania","Iasi","Furnizare","9936"
"Romania","Iasi","Furnizare","226440"
"Romania","Iasi","Furnizare","158760"
"Romania","Iasi","Furnizare","14250"
"Romania","Iasi","Furnizare","3800"
"Romania","Iasi","Furnizare","5364"
"Romania","Iasi","Furnizare","17208"
"Romania","Iasi","Furnizare","840"
"Romania","Iasi","Furnizare","1728"
"Romania","Iasi","Furnizare","237600"
"Romania","Iasi","Furnizare","3046"
"Romania","Iasi","Furnizare","54360"
"Romania","Iasi","Furnizare","1040"
"Romania","Iasi","Furnizare","914"
"Romania","Iasi","Furnizare","11520"
"Romania","Iasi","Furnizare","4500"
"Romania","Iasi","Furnizare","2902"
"Romania","Iasi","Furnizare","34848"
"Romania","Iasi","Furnizare","196200"
"Romania","Iasi","Furnizare","8010"
"Romania","Iasi","Furnizare","109944"
"Romania","Iasi","Furnizare","11160"
"Romania","Iasi","Furnizare","13824"
"Romania","Iasi","Furnizare","7020"
"Romania","Iasi","Furnizare","1584"
"Romania","Iasi","Furnizare","2052"
"Romania","Iasi","Furnizare","9000"
"Romania","Iasi","Furnizare","175536"
"Romania","Iasi","Furnizare","106200"
